Item Name,Qty,Price (total) (USD),Item link,Notes
RADIO Module,2,$52.00,https://www.amazon.com/Gowoops-Wireless-Transmitter-Compatible-Microcomputer/dp/B07G7RZLTW/ref,915 MHZ radio modules required for communication
Joystick Module,1,$10.00,https://www.amazon.com/MTDELE-Dual-axis-Controller-Compatible-Raspberry/dp/B0F27S3MVC/ref, For the controller input
XIAO ESP 32 ,1,$27.00,https://www.amazon.com/Dual-core-Supported-Efficiency-Interface-Robotics/dp/B0DJ6NQFKX/ref, I bought three as it's cheaper than buying two
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$89.00,,,
